MY☀4K直播,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1,http://118.193.115.2:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://123.113.101.206:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.14.160.144:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://fuxin.yunjifei.top:999/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://shlt.sohu.blog:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://122.228.104.230:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://60.187.246.177:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.75.149.129:9906/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://113.241.133.223:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV2,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://123.113.101.206:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.14.160.144:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://fuxin.yunjifei.top:999/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://139.227.221.119:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://shlt.sohu.blog:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://122.228.104.230:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://60.187.246.177:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://182.37.41.46:8154/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.75.149.129:9906/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://123.113.101.206:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.14.160.144:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://fuxin.yunjifei.top:999/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://139.227.221.119:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://shlt.sohu.blog:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://122.228.104.230:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://60.187.246.177:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://182.37.41.46:8154/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.75.149.129:9906/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.241.133.223:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://123.113.101.206:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.14.160.144:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://fuxin.yunjifei.top:999/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://139.227.221.119:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://shlt.sohu.blog:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://122.228.104.230:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://182.37.41.46:8154/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.75.149.129:9906/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4亚洲,http://69.30.245.50/live/cctv4.m3u8
CCTV4亚洲,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4亚洲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV4亚洲,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4亚洲,http://123.113.101.206:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4亚洲,http://223.14.160.144:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4亚洲,http://fuxin.yunjifei.top:999/tsfile/live/0004_1.m3u8?key=txiptv
